commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp,matched_api,n_apis_in_product
ROSALIN MOUTH WASH 120ML,روسالين موث واش,MENTHOL+CLOVE OIL+CINNAMON OIL+GLYCERIN+CICALCIUM PHOSPHATE DIHYDRATE,SURVEY PHARMA,ORAL CARE,MOUTH,8.0,menthol,1
ROSMIRA 60 ML SPRAY,روسميرا,CLOVE+MENTHOL+CHAMOMILE,DREAMS ELHABOBA > GREEN CHEMIST,MOUTH SPRAY,MOUTH,65.0,menthol,1
ROSTEVO INTIMATE FEMININE WASH 250ML,روستيفو إنتيماتي فيمينيني واش,CHLORHEXIDINE+MENTHOL CRYSTALS+CHAMOMILE EXTRACT+TEA TREE OIL+ALOE VERA EXTRACT+THYME EXTRACT+ROSE OIL,DREAMS EL HABOBA > LAROSE,INTIMATE FEMININE WASH,VAGINAL,75.0,menthol,1
ROSTEVO MASSAGE GEL 100 GM,روستيفو ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS+EUCALYPTUS OIL,DREAMS EL HABOBA > LAROSE,MASSAGE GEL,TOPICAL,100.0,menthol,1
ROSTEVO MASSAGE GEL 50 GM,روستيفو ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS+EUCALYPTUS OIL,DREAMS EL HABOBA > LAROSE,MASSAGE GEL,TOPICAL,60.0,menthol,1
ROSTEVO MOUTH WASH 250 ML,روستيفو موث واش,CHLORHEXIDINE DIGLUCONATE+OCTADECENY AMMONIUM+FLUORIDE+MENTHOL CRYSTALS+EUCALYPTUS EXTRACT,DREAMS EL HABOBA > LAROSE,REFRESHING MOUTHWASH,UNKNOWN,50.0,menthol,1
ROSTROVAN 50 GM MASSAGE GEL,روستروفان ماسساجي,MENTHOL CRYSTALS+PEPPERMINT OIL+EUCALYPTUS OIL+CLOVE OIL,HI CARE PHARMACEUTICALS > B LINK PHARMACEUTICALS,MASSAGE GEL,TOPICAL,140.0,menthol,1
ROWACHOL 45 CAPS.,روواتشول,ALPHA PINENE+BETA PINENE+BORNEOL+CAMPHENE+CINEOL+MENTHOL+MENTHONE,ROWA-WAGNER K.G.W GERMANY > AMOUN,CHOLERETIC,ORAL.SOLID,93.0,menthol,1
ROZTEL VAGINAL WASH 250 ML,روزتيل واش,SODIUM LAURETH SULPHATE+TEA TREE EXT.+ROSEMARY+MENTHOL+CHAMOMILE+ALOE VERA,EL-HELOU FOR PERFUMES & COSMETICS > FOUR BENIFITS PHARMA,VAGINAL WASH,VAGINAL,30.0,menthol,1
RUBALGINE 15 % TOPICAL CREAM 20 GM,روبالجيني 15 %,CAMPHOR+CAPSICIUM OLEORESIN+MENTHOL+METHYL SALICYLATE+PEPPERMINT OIL+TURPENTINE OIL,KAHIRA,ANALGESIC,TOPICAL,35.0,menthol,1
RUBAMINT MASSAGE 2.5% GEL 60 GM,روبامينت ماسساجي 2.5%,MENTHOL+CAMPHOR,MEDIZEN PHARMACEUTICAL INDUSTRIES,MASSAGE,TOPICAL,30.0,menthol,1
RUBAMINT MASSAGE 5% COLD GEL 60 GM,روبامينت ماسساجي 5% كولد,MENTHOL+CAMPHOR,MEDIZEN PHARMACEUTICAL INDUSTRIES,MASSAGE,TOPICAL,55.0,menthol,1
RUNNER MASSAGE GEL 50 ML,روننير ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS+AVOCADO OIL+BEESWAX,SMARTEC > S3R PHARMA,MASSAGE GEL,TOPICAL,60.0,menthol,1
RUNSAGE SPRAY 50ML,رونساجي,MENTHOL CRYSTAL+CAMPHOR CRYSTAL,ITALIAN COMPANY > BAP PHARMA FOR TRADING AND EXPORT,MASSAGE SPRAY,SPRAY,85.0,menthol,1
SACNEL AFTER SHAVE LOTION 120ML,ساكنيل أفتير شافي,SALICYLIC ACID+BENZETHONIUM+GREEN TEA+TEA TREE OIL+HAMAMELIS+ALLANTOIN+PANTHENOL+MENTHOL+ALOE VERA,WEISER,SKIN CARE,UNKNOWN,58.0,menthol,1
SAGEWAY MASSAGE GEL 50 GM,ساجيواي ماسساجي,EUCALYPTUS OIL+CAMPHOR OIL+MENTHOL+CINNAMON OIL+PEPPERMINT OIL+CLOVE OIL+TRIETHANOLAMINE,DREAMS EL HABBOBA > BIOCURE COMPANY,MASSAGE GEL,TOPICAL,35.0,menthol,1
SAJ RELAX MASSAGE GEL 50GM,ساج ريلاكس ماسساجي,MENTHOL - ARNICA - CAMPHER - CLOVE OIL - EUCALYPTUS,LEADER > NOVA PHARM,MASSAGE GEL,TOPICAL,80.0,menthol,1
SALEX GEL 50 GM,ساليكس,MENTHOL+CHAMOMILE+CARBOMER+CAMPHOR+METHYL PARABEN+TRIETHANOLAMINE+ISOPROPANOL+COLOUR BLUE,HI-CARE > FALCON GROUP,MASSAGE CREAM,TOPICAL,40.0,menthol,1
SALGY MASSAGE CREAM 50 GM,سالجي ماسساجي,CAMPHOR CRYSTAL+MENTHOL CRYSTAL+CLOVE EXTRACT+EUCALYPTUS OIL+PANTHENOL+PEPPERMINT,ITALIAN COSMETICS CO. > OCTABIOTIC PHARMA,MASSAGE CREAM,TOPICAL,70.0,menthol,1
SALIVER GEL 40 GM,ساليفير,ALOVERA EXTRACT+CHAMOMILLA RECEUTITA EXTRAC+9VITAMIN K+MENTHOL CRYSTAL+JOJOBA OIL+GLYCERIN,COSMOPACK > CATALYST PHARMA GROUP,MOISTURIZING GEL,TOPICAL,45.0,menthol,1
SANIDOX GEL 60 GM,سانيدوكس,CAMPHOR+MENTHOL CRYSTAL+CLOVE EXTRACT+EUCALYPTUS OIL+FATTY ACIDS,SMARTIC > SANITAS,TOPICAL MASSAGE,TOPICAL,38.0,menthol,1
SANOVIORA MASSAGE GEL 60 GM,سانوفيورا ماسساجي,MENTHOL+CAMPHOR+CLOVE+EUCALYPTUS,> SANO PHARMA,MASSAGE,TOPICAL,33.0,menthol,1
SANSO CARE CREAM FOR STRETCH MARK 100 GM,سانسو كاري ستريتتش مارك,ALLANTOIN+MENTHOL+CALENDULA+EVENING PRIMROSE OIL+ALOE VERA+PANTHENOL+VITAMIN (A+E)+ZINC OXIDE,AUG PHARMA,skin care.FIRMING,TOPICAL,100.0,menthol,1
SAVI READY 250 ML M.W,سافي ريادي م.و,CHLOROHEXIDINE+EUCALYPTOL+HYDROGEN PEROXIDE +MENTHOL+THYMOL+FLUORIDE+SODIUM BENZOATE+CLOVE EXT.,VITALITY COSMETIC FACTORY > SAVI PHARMA,MOUTH WASH,MOUTH,110.0,menthol,1
SAVI SOL 150 ML FOAM CLEANSER,سافي كليانسير,MENTHOL+TEA TREE OIL+ALOE VERA+THYROID+CHAMOMILE,VITALITY COSMETICS > SAVI PHARMA,FEMININE WASH FOAM,UNKNOWN,150.0,menthol,1
SAVI SOL 200 ML FEMININE CLEANSER,سافي فيمينيني كليانسير,MENTHOL+TEA TREE OIL+THYMOL+CHAMOMILE EXT.,DREAMS > SAVI PHARMA,FEMININE CARE,VAGINAL,80.0,menthol,1
SCANDED 120 GM CREAM,سكانديد,EUCALYPTUS OIL+GLYCERIN+MENTHOL CRYSTALS+CARNATION+ALLANTOIN+PANTHENOL EXTRACT+OIL OF CAMPHOR,ITALIAN COSMETICS > MADRED PHARMA,MASSAGE CREAM,TOPICAL,50.0,menthol,1
SCORPION 150 ML MASSAGE SPRAY,سكوربيون ماسساجي,MENTHOL+AVOCADO OIL+CAMPHOR+ALLANTOIN+,ECC > ATLANTIC GROUP,MASSAGE SPRAY,UNKNOWN,150.0,menthol,1
SEBOFIX FACIAL CLEANSER GEL CREAM 50 ML,سيبوفيكس فاسيال كليانسير,NIACINAMIDE+SALICYLIC ACID+GLYCOLIC ACID+TEA TREE EXTRACT+VITAMIN E+ALOE VERA EXTRACT+MENTHOL CRYSTALS+THYME EXTRACT+GLYCERIN,SMARTEC FOR PHARMACEUTICALS AND COSMETICS > VAXIL FOR PHARMACEUTICAL INDUSTRIES,SKIN CARE,TOPICAL,235.0,menthol,1
SECTOR MASSAGE CREAM 60 GM,سيكتور ماسساجي,PEPPERMINT OIL+MENTHOL CRYSTALS+CAMPHOR OIL+EUCALYPTUS OIL+EUGENOL OIL,EGYPTIAN COMPANY FOR COSMETICS > SECTOR,MASSAGE CREAM,TOPICAL,90.0,menthol,1
SECTOR MASSAGE GEL 120 GM,سيكتور ماسساجي,PEPPERMINT OIL+CAMPHOR+EUCALYPTUS OIL+MENTHOL CRYSTALS,EGYPTIAN COMPANY FOR COSMETICS > SECTOR,MASSAGE CREAM,TOPICAL,140.0,menthol,1
SEDALINE SYRUP 125ML,سيداليني,AMMONIUM CHLORIDE+DIPHENYLHYDRAMINE+MENTHOL+SODIUM CITRATE,KAHIRA,COUGH PRODUCTS,ORAL.LIQUID,17.0,menthol,1
SEEMLY MOUTH WASH 250 ML,سيملي موث واش,COCAMIDO PROPYL BETAINE+SORBITOL+SODIUM BENZOATE+SODIUM SACHARINE+SODIUM FLUORIDE+PEPPERMINT OIL+CINNAMON+MENTHOL,> INTERNATIONAL EGYPTIAN CO.,ORAL CARE,MOUTH,39.95,menthol,1
SELETAJ MASSAGE CREAM 50 GM,سيليتاج ماسساجي,THYME EXT+CAMPHOR+MENTHOL CRYSTALS+CLOVE OIL+EUCALYPTUS OIL+PEPPERMINT OIL+CINNAMON OIL+CETEARETH-20,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > SILAJ,MASSAGE CREAM,TOPICAL,59.0,menthol,1
SENSODERM TOPICAL LOTION 120 ML,سينسوديرم,ZINC OXIDE+GRAPE SEED EXTRACT+TRICLOSAN+CAMPHOR+GLYCERIN+UREA+MENTHOL,HI-CARE > NOVEX,SKIN CARE.SOOTHING,UNKNOWN,65.0,menthol,1
SEPCOMOUTH MOUTH WASH,سيبكوموث موث واش,MENTHOL+METHYL SALICYLATE,SEPCO PHARMACEUTICAL CO. > SEPCO PHARMA,MOUTH WASH,MOUTH,2.5,menthol,1
SERIO TOPICAL LOTION 120ML,سيريو,ZINC OXIDE+PANTHENOL+MENTHOL+THYMOL+CHAMOMILE EXTRACT+ALOE VERA EXTRACT+GLYCERIN,MACRO GROUP PHARMACEUTICALS,SOOTHING TOPICAL,UNKNOWN,20.0,menthol,1
SERPANO VAGINAL WASH 250 ML,سيربانو واش,CHLORHEXIDINE+TEA TREE OIL+CHAMOMILE+THYME EXTRACT+ROSMARINIC ACID+ALLANTOIN+MENTHOL CRYSTALS+GLYCERIN+CITRIC ACID,ELHELW GROUP COMPANY > DOCTORS PHARMA,VAGINAL DOUSH,VAGINAL,55.0,menthol,2
SERVICARE LIQUID INTIMATE FEMININE WASH 250 ML,سيرفيكاري ليكويد إنتيماتي فيمينيني واش,CHLORHEXIDINE+CETRIMIDE+THYMOL+MENTHOL+ROSA OIL+TEGO BETAIN,HI-CARE > CASTLE CARE,VAGINAL WASH,VAGINAL,26.0,menthol,1
SETANO SKIN CLEANSER GEL 120ML,سيتانو سكين كليانسير,THYME EXTRACT+MENTHOL+COCAMIDE DEA,HI-CARE > SMART MARKETING,SKIN CARE,TOPICAL,35.0,menthol,1
SIKOOR VISCOUS VAGINAL SOL. 240 ML,سيكور فيسكوس,MENTHOL+PANTHENOL+TEA TREE OIL+CHAMOMILE+STEARIC ACID+CHLORHEXIDINE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > SANTEX PHARMA,VAGINAL CARE,VAGINAL,58.0,menthol,1
SINO FRESH 150 ML,سينو فريش,SEA WATER+COCAMIDOPROPYL BETAINE+CHLORHEXIDINE+GLYCERIN+SODIUM CHLORID+MENTHOL+MELALEUCA ALTERNIFOLIA LEAFS,COSMOPACK > CATALYST PHARMA GROUP,MOUTH AND NASAL WASH,MOUTH,90.0,menthol,1
SINOMOON MASSAGE GEL 100 GM,سينومون ماسساجي,MENTHOL+CAMPHOR OIL+EUCALYPTUS OIL+CLOVE OIL+SALICYLIC ACID,NILE FACTORY > RMPC PHARMA,MASSAGE GEL,TOPICAL,120.0,menthol,1
SIRI PRO HAIR SERUM 120 ML,سيري برو هاير سيروم,CAFFEINE+ROSEMARY OIL+PANTHENOL+TOCOPHEROL+ALMOND OIL+JOJOBA OIL+SILICON OIL+MENTHOL+OLIVE OIL+SESAM,COSMOPACK > RIVAL PHARMA,HAIR CARE PRODUCTS,UNKNOWN,75.0,menthol,1
SLY-IMPRESS 50 GM MASSAGE GEL,سلي-إمبريسس ماسساجي,MENTHOL CRYSTALS 5%+CAMPHOR CRYSTALS 3%+VIT E (TOCOPHEROL)+VIT B5 (PANTOTHENIC ACID)+PANTHENOL+EUCALYPTUS+GINGER+CLOVE BUD OILS+THYMUS VULGARIS OIL+MENTHA PIPERITA OIL,RAFADA 2RS > ELSAID SALIY PHARMA,MASSAGE GEL,TOPICAL,90.0,menthol,1
SLY-IMPRESS MOISTURIZING & SOOTHING 30 ML NASAL SPRAY,سلي-إمبريسس مويستوريزينج & سوثينج,NATURAL ISOTONIC SEA WATER+HYALURONIC ACID+VIT A+VIT E+ALOEVERA+PANTHENOL+ROSEMARY+EUCALYPTUS OIL+MENTHOL,RAFADA 2RS > ELSAID SALIY PHARMA,NASAL SPRAY,SPRAY,80.0,menthol,1
SMILE LOTION 120 ML,سميلي,ZINC OXIDE+MENTHOL+CAMPHOR+RED IRON OXIDE,H.C.P CO. > PHOENIX-EGYPT,SOOTHING TOPICAL,UNKNOWN,10.0,menthol,1
SNUFFLE BABE VAPOUR RUB 24 GM,سنوففلي بابي فابور روب,PETROLATUM+EUCALYPTUS GLOBUS LEAF OIL+MENTHOL+THYMUS VULGARIS OIL,D D D > INTER PHARM,.,TOPICAL,17.0,menthol,1
SOFT LAX MASSAGE CREAM 40 GM,سوفت لاكس ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS,LEADER COSMETICS & PERFUMES CO. > AGLAN PHARMA,MASSAGE CREAM,TOPICAL,70.0,menthol,1
SOFT LAX MASSAGE CREAM 60 GM,سوفت لاكس ماسساجي,CAMPHOR OIL+MENTHOL CRYSTALS,LEADER COSMETICS & PERFUMES CO. > AGLAN PHARMA,MASSAGE CREAM,TOPICAL,95.0,menthol,1
SOFTA VAG.DOUCHE 200 ML,سوفتا فاج,THYME+TEGOBETAIN+MENTHOL+CETRIMIDE+CHLORHEXIDINE,HI-CARE > DIAMOND PHARMA,VAGINAL CARE,VAGINAL,36.0,menthol,1
SOLO ICE ACT 100 ML MASSAGE SPRAY,سولو إسي أكت ماسساجي,MENTHOL+JUNIPERUS+CALENDULA+MGCL2,ABS > SOLO PHARMA,MASSAGE SPRAY,UNKNOWN,120.0,menthol,1
SOLO TOPICAL LOTION 120ML,سولو,ZINC OXIDE+TITANIUM DIOXIDE+VITAMIN E+DEXPANTHENOL+GLYCEROL+MENTHOL,HI-CARE > HEALTH WELL EGYPT,SKIN CARE.SOOTHING,UNKNOWN,85.0,menthol,1
SOLVADINE MOUTH FRESHENER SOLUTION SPRAY 40 ML,سولفاديني موث فريشينير,GLYCEROL+HONEY+EUCALYPTUS OIL+CLOVE OIL+GINGER EXTRACT+ROSEMARY EXTRACT+LICORICE EXTRACTS+VITIS VINIFERA EXTRACT+SAMBUCUS NIGRA EXTRACT+THYMUS VULGARIS+PROPOLIS EXTRACT+MENTHOL,DREAMS > SHINE PHARMA,SOOTHING & REFRESHING SPRAY,UNKNOWN,75.0,menthol,1
SOMASSAGE TE CREAM 50 GRAM,سوماسساجي تي 50 جرام,MENTHOL+EUCALYPTUS+COMPHER+THYME+OLIVE+PANTHENOL+NATURAL HERBS,ITALIAN COSMETICS > ELEGANCE PHARMA THEN IVET,MASSAGE CREAM,TOPICAL,45.0,menthol,1
SONSEDA ANTI HAIR LOSS LOTION,سونسيدا أنتي هاير لوسس,PANTHENOL+ALOE VERA EXTRACT+TEA TREE OIL+MENTHOL+ARGAN OIL+GREEN TEA EXTRACT+CAFFEINE+OLIVE OIL+WHEAT GERM OIL+JOJOBA OIL,BRAND INTERNATIONAL > OPTAVIT PHARMA,HAIR LOTION,UNKNOWN,275.0,menthol,1
SOOJEZ CREAM 100 GM,سوجيز,MENTHOL+CAMPHOR+EUCALYPTUS,PHARMAZAD > ICONIC PHARMACEUTICAL,MASSAGE CREAM,TOPICAL,79.0,menthol,1
SOOJEZ CREAM 50 GM,سوجيز,MENTHOL+CAMPHOR+EUCALYPTUS,PHARMAZAD > ICONIC PHARMACEUTICAL,MASSAGE CREAM,TOPICAL,39.0,menthol,1
SOOZY INTIMATE WASH 250 ML,سوزي إنتيماتي واش,CHLORHEXIDINE 0.1%+ALOE VERA+CHAMOMILE+GREEN TEA EXT.+THYME+MALVA SYLVESTRIS+MENTHOL+TEA TREE OIL+ROSE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INTEGRA PHARM,VAGINAL CARE,VAGINAL,95.0,menthol,1
SORIANA VAGINAL DOUSH 200 ML,سوريانا دوش,TEA TREE OIL+CHLORHEXIDINE+THYMOL+TRICLOSAN+CHAMOMILE+COCAMIDO PROPYLE BETAIN+GLYCERINE+MENTHOL,DREAMS ELHBOBA > WEA PHARMA,VAGINAL DOUSH,VAGINAL,75.0,menthol,1
SOUVANA TOPICAL LOTION 120 ML,سوفانا,ZINC OXIDE+MENTHOL CRYSTALS+THYMOL+CHAMOMILE+DIMETHICONE+GLYCEROL,HI-CARE > API PHARMA,SKIN CARE.SOOTHING,UNKNOWN,65.0,menthol,1
SOVIDAL 75 GM CREAM,سوفيدال,ALOE VERA EXTRACT+CHAMOMILE EXTRACT+MENTHOL CRYSTALS+CRANBERRY EXTRACT,EL HELOU FOR PERFUMES & COSMETICS > BUTA PHARM,EMOLLIENT CREAM,TOPICAL,80.0,menthol,1
SPEEDOLAX MASSAGE SPRAY 120 ML,سبيدولاكس ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS OIL+CLOVE OIL,> HEALTH WELL,MASSAGE,SPRAY,185.0,menthol,1
SPIDER CARE 60 GM MASSAGE CREAM,سبيدير كاري ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS OIL+CLOVE OIL+PEPPERMINT OIL+MAGNESIUM SULPHATE,NILE COSMETICS > REVARO PHARM,MASSAGE CREAM,TOPICAL,65.0,menthol,1
SPUNKY MASSAGE GEL 50 GM,سبونكي ماسساجي,MENTHOL+PEG 400+EUCALYPTUS,EGYPTIAN COMPANY FOR COSMETICS > ROCHAN,MASSAGE CREAM,TOPICAL,100.0,menthol,1
STANLEY NASAL SPRAY 100 ML,ستانلي,SEA WATER+VITAMIN A+VITAMIN E+PANTHENOL+HYALURONIC ACID+GLYCERIN+MENTHOL,NILE FACTORY FOR COSMETICS > LA PORTE PHARMA,NASAL CARE,SPRAY,160.0,menthol,1
STANLEY PLUS NASAL SPRAY 100 ML,ستانلي بلوس,SEA WATER+VITAMIN A+VITAMIN E+PANTHENOL+HYALURONIC ACID+GLYCERIN+MENTHOL,NILE FACTORY FOR COSMETICS > LA PORTE PHARMA,NASAL CARE,SPRAY,170.0,menthol,1
STEP HAPPY  50 GM MASSAGE GEL,ستيب هاببي ماسساجي,CARBOMER+TRIETHYLAMINE+PROPYLENE GLYCOL+MENTHOL+EUCALYPTUS+CAMPHOR OIL+THYME OIL+CLOVE OIL+PEPPERMINT OIL+PANTHENOL+TOCOPHEROL ACETATE+SODIUM METHYLPARABEN,SMARTEC > SEHHA PHARMA,MASSAGE GEL,TOPICAL,40.0,menthol,1
STEP-FOWARD 50GM MASSAGE CREAM,ستيب-فووارد ماسساجي,PANTHENOL+THYMUS VULGARIS OIL+GLYCERIN+MENTHA PIPERITA OIL+EUCALYPTUS OIL+TOCOPHEROL+CINNAMOMUM+CAMPHORA BARK OIL+EUGENIA CARYOPHYLLUS+LEAF OIL+MENTHOL+STEARIC ACID+CELLULOSE GUM+METHYL PARABEN+TRIETHANOLAIME+POLYSORBATE 20+PURIFIED WATER,EL NILE FOR COSMETICS > PHARMA DREAM FOR COSMETICS,MASSAGE CREAM,TOPICAL,49.0,menthol,1
STIMURELAX 50 GM MASSAGE CREAM,ستيموريلاكس ماسساجي,AQUA+MAGNESIUM CHLORIDE+MENTHOL+CAMPHOR+TOCOPHERYL ACETATE+THYMUS VULGARIS EXTRACT+PHENOXYETHANOL+PANTHENOL+MENTHA PIPERITA OIL+EUCALYPTUS GLOBULUS LEAF OIL+HONEY+PRUNUS ARMENIACA KERNEL OIL+PROPYLENE GLYCOL+BHT+ALCOHOL DENAT+XANTHAN GUM+GLYCERIN+TRIETHANOLAMINE+PARAFFINUM LIQUIDUM+BEESWAX+STEARIC ACID+GLYCERYL STEARATE+CETYL ALCOHOL.,EGYPTIAN COMPANY FOR COSMETICS (E.C.C) > VITA MIDDLE EAST PHARMA,MASSAGE CREAM,TOPICAL,139.0,menthol,1
STRATO H 120 ML MOUTH WASH,ستراتو ه موث واش,CHLORHEXIDINE GLUCONATE+CETYLPYRIDINIUM CHLORIDE+HYALURONIC ACID+THYMUS EXTRACT+CINNAMON BARK EXTRACT+	HORSE TAIL EXTRACT+CINNAMON BARK OIL+CLOVE OIL+MENTHOL,NILE COSMOTICS FACRORY > NUTRISYNTH FOR TRADE AND DISTRIBUTION,MOUTH WASH,MOUTH,98.0,menthol,1
SUBSIDIE MASSAGE CREAM 100 GM,سوبسيدي ماسساجي,METHYLSALICYLATE+OSTRICH OIL+CAMPHOR+MENTHOL,NILE COSMOTICS > MERTA PHARMA,MASSAGE CREAM,TOPICAL,140.0,menthol,1
SULFAX (CMO FORMULA) MASSAGE CREAM 120 GM,سولفاكس ماسساجي,EUCALYPTUS OIL+MENTHOL+CAMPHOR OIL+CETYL MYRISTOLEATE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > PARKVILLE,MASSAGE CREAM,TOPICAL,120.0,menthol,1
SULFAX (CMO FORMULA) MASSAGE CREAM 60 GM,سولفاكس ماسساجي,EUCALYPTUS OIL+MENTHOL+CAMPHOR OIL+CETYL MYRISTOLEATE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > PARKVILLE,MASSAGE CREAM,TOPICAL,95.0,menthol,1
SULFAX COLD SPRAY 200 ML IMPORT,سولفاكس كولد إمبورت,MENTHOL+ETHANOL+PROPANE/BUTANE,> PARKVILLE,ANALGESIC,SPRAY,300.0,menthol,1
SULFAX COLD SPRAY 200 ML LOCAL,سولفاكس كولد لوكال,MENTHOL+ETHANOL+PROPANE/BUTANE,KATO PRESTIGE COSMOTICS > PARKVILLE,MASSAGE,SPRAY,300.0,menthol,1
SULFAX COOL & HOT 1 SHEETS,سولفاكس كول & هوت 1 شيتس,MENTHOL+VANILLYBUTYL ETHER,LABOTTACH CO. > PARKVILLE,ANALGESIC,UNKNOWN,45.0,menthol,1
SULFAX ICY MENTHOL 1 SHEETS,سولفاكس إسي مينثول 1 شيتس,MENTHOL,LABOTTACH CO. > PARKVILLE,ANALGESIC,UNKNOWN,45.0,menthol,1
SULFAX PLUS MASSAGE GEL 120 GM,سولفاكس بلوس ماسساجي,EUCALYPTUS OIL+MENTHOL+CAMPHOR OIL+CETYL MYRISTOLEATE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > PARKVILLE,MASSAGE CREAM,TOPICAL,170.0,menthol,1
SULFAX PLUS MASSAGE GEL 60 GM,سولفاكس بلوس ماسساجي,EUCALYPTUS OIL+MENTHOL+CAMPHOR OIL+CETYL MYRISTOLEATE,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > PARKVILLE,MASSAGE CREAM,TOPICAL,100.0,menthol,1
SUN SOLA SOLUTION 120 ML,سون سولا,ALUMINIUM CHLORIDE+CALCIUM HYDROXIDE+MENTHOL,ZAD,.,MOUTH,39.88,menthol,1
SUN SOLA SOLUTION 30 ML,سون سولا,ALUMINIUM CHLORIDE+CALCIUM HYDROXIDE+MENTHOL,ZAD,.,MOUTH,12.35,menthol,1
SUN SOLA SOLUTION 60 ML,سون سولا,ALUMINIUM CHLORIDE+CALCIUM HYDROXIDE+MENTHOL,ZAD,.,MOUTH,29.3,menthol,1
SWACAVE 30ML MOUTH SPRAY,سواكافي موث,HYALURONIC ACID+CHLORHEXIDINE+LIDOCAINE+MENTHOL+CAMPHOR+VITAMIN C+VITAMIN E+ECALYPTUS,ELNILE COSMETICS > SWA PHARMA FOR PHARMACEUTICALS,ANTI BACTERIAL ANTI FUNGAL LOCAL ANESTHETIC,UNKNOWN,100.0,menthol,1
SWALADY 125 ML INTIMATE FEMININE WASH,سوالادي إنتيماتي فيمينيني واش,PANTHENOL+CHLORHEXIDINE+GRAPE SEED EXTRACT+GLYCERIN+ALOE VERA EXTRACT+CHAMOMILE EXTRACT+THYME EXTRACT+TEA TREE OIL+MENTHOL OIL,ELNILE COSMETICS > SWA PHARMA FOR PHARMACEUTICALS,ANTIMICROBIAL AGENTS FOR VAGINA AND SECRETION AND ODOUR CONTROL,VAGINAL,59.0,menthol,1
SWASMILE 125 ML MOUTH WASH,سواسميلي موث واش,EUCALYPTUS+CHLORHEXIDINE+CLOVE OIL+MENTHOL CRYSTALS+CHAMOMILE OIL+ALLANTOIN+THYMOL,ELNILE COSMETICS > SWA PHARMA FOR PHARMACEUTICALS,ANTISEPTIC MOUTH WASH,MOUTH,59.0,menthol,1
SWELLARO 50GM GEL,سويللارو,AESCIN - ARNICA - EUCALYPTUS OIL - MENTHOL - ALOE VERA EXTRACT - TEA TREE OIL - VITAMIN C - VITAMIN E,SMARTEC > GEOXIL PHARMA,ANTI-SWELLING GEL,TOPICAL,80.0,menthol,1
SWIFT CARE  MASSAGE GEL 60 GM,سويفت كاري ماسساجي,EUCALYPTUS+MENTHOL+SALICYLIC ACID+AVOCADO OIL+PROPYLENE GLYCOL+OTHER INGREDIENTS,NILE COSMETICS > BIOVIL,MASSAGE GEL,TOPICAL,50.0,menthol,1
SWIVEL MASSAGE GEL 80 GM,سويفيل ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > SWIVEL MED,MASSAGE,TOPICAL,100.0,menthol,1
TALEEN SHAMPOO 250 ML,تالين,ZINC PYRITHIONE+SIMETHICONE+JOJOBA OIL+PANTHENOL+ALOE VERA+MENTHOL CRYSTALS,HI-CARE > BIOHEALTH COMPANY,HARE CARE PRODUCTS,TOPICAL,75.0,menthol,1
TAVON MASSAGE SPRAY 100ML,تافون ماسساجي,MENTHOL CRYSTALS+CAMPHOR OIL+EUCALYPTUS OIL+PANTHENOL+GLYCERIN,BRAND INTERNATIONAL (FSC) > SILAJ,MASSAGE,SPRAY,150.0,menthol,1
TEAVO 50 GM GEL,تيافو,EUCALYPTUS EXTRACT+CAMPHOR EXTRACT+MENTHOL+THYME EXTRACT,KEMPETRO FOR CHEMICAL INDUSTRIES COSMETICS AND PHARMACEUTICALS > PDRTC,MASSAGE GEL,TOPICAL,90.0,menthol,1
TEDAVI-REST MASSAGE CREAM 50GM,تيدافي-ريست ماسساجي,COMPHOR - EUCALYPTUS - VITAMIN E - CLOVE - MENTHOL - PEPPERMINT - TANNINS - EUGENOL - CHLORHEXIDINE,ITALIAN FOR COSMETICS > EXTREME CARE PHARM,MASSAGE CREAM,TOPICAL,40.0,menthol,1
TELLER FEMININE CLEANSER 200 ML,تيللير فيمينيني كليانسير,CHLOROHEXIDINE+TEA TREE OIL+ALOE VERA EXT+MENTHOL+THYMOL+CHAMOMILE EXT.,> EGYSTAR PHARM,VAGINAL CARE,VAGINAL,75.0,menthol,1
TERASAG 60 GM MASSAGE GEL,تيراساج ماسساجي,CAMPHOR OIL+MENTHOL+EUCALYPTUS+PEPPERMINT OIL+CLOVE OIL+THYME EXTRACT+APRICOT OIL+VIT C+VIT E,NILE COSMETICS > PROPHARM,ANALGESIC,TOPICAL,55.0,menthol,1
